Application Name,Respondent Role,Rating,Comment,Date,Sentiment
Accounts Payable Tool Classic,End User,1,Worst application in our portfolio,2025-11-04,Negative
Public Safety Emergency Dispatch (Old),Director,3,Could use some improvements but manageable,2025-09-12,Neutral
Payroll,Team Lead,2,So slow it's almost unusable during peak hours,2025-07-09,Negative
Integrated Email Archive Enterprise,Support Staff,1,"Absolutely hate this system, it's awful",2025-11-15,Negative
Investigation Management Platform Enterprise,End User,3,Functional but a bit outdated,2025-06-15,Neutral
Public Portal Platform,Department Manager,2,Complete disaster - retire it now,2025-11-15,Negative
Investigation Management Tool,End User,3,Adequate for our needs but could be better,2025-08-20,Neutral
Complaint Tracking Tool Plus,Supervisor,1,"Too many bugs, feels like it's never been tested",2025-10-15,Negative
Grant Management Platform,Support Staff,1,"Very difficult to navigate, poor user experience",2025-08-12,Negative
Case Management Platform,Supervisor,4,Appreciate how reliable and fast this is,2025-10-20,Positive
Performance Management Platform,IT Staff,2,Budget drain with minimal return on investment,2025-06-10,Negative
IT VPN,Support Staff,2,Budget drain with minimal return on investment,2025-07-11,Negative
Budget Management (Old),Executive,3,"Basic functionality works, missing some features",2025-08-31,Neutral
Compliance Compliance Tracking,End User,5,Very efficient and well-designed,2025-06-29,Positive
Compliance Analytics Platform (Old),Support Staff,4,Best application we have - couldn't do without it,2025-06-23,Positive
Audit Management Platform,Director,4,Great application - modern interface and reliable performance,2025-06-08,Positive
Integrated 311 System,Business Analyst,5,Very efficient and well-designed,2025-09-07,Positive
VPN Tool,Administrator,3,"Acceptable for now, considering alternatives",2025-09-22,Neutral
Case Management,Department Manager,5,"Really helpful tool, very user-friendly",2025-07-31,Positive
Work Order System,Team Lead,5,Love this system! It's intuitive and fast,2025-09-28,Positive
Public Safety Investigation Management v1,Director,3,It works but feels dated,2025-09-25,Neutral
Finance Budget Management,End User,1,System is painfully slow and frequently times out,2025-11-05,Negative
Reporting Dashboard,Team Lead,4,"Fantastic system, makes my job much easier",2025-06-11,Positive
Budget Management System,Support Staff,5,Clean interface and powerful features,2025-10-04,Positive
Public Portal Tool,Business Analyst,4,Impressed with the functionality and ease of use,2025-09-11,Positive
Integrated Payroll,Team Lead,1,Horrible experience every time I have to use it,2025-10-27,Negative
Public Safety Emergency Dispatch,Business Analyst,3,Middle of the road - neither good nor bad,2025-07-28,Neutral
Investigation Management Tool,Department Manager,5,"Fantastic system, makes my job much easier",2025-10-10,Positive
Fleet Management System,Supervisor,3,"Gets the job done, nothing special",2025-09-27,Neutral
Backup System,End User,5,Appreciate how reliable and fast this is,2025-09-11,Positive
Integrated Case Management,Support Staff,3,Works okay most of the time,2025-09-10,Neutral
Compliance Analytics Platform (Old),Support Staff,5,Excellent tool that has significantly improved our workflow,2025-06-11,Positive
Integrated 311 System,Administrator,5,"Really helpful tool, very user-friendly",2025-11-17,Positive
Integrated Complaint Tracking v1,Administrator,3,"It works fine, does what it needs to do",2025-08-25,Neutral
Identity Management,Executive,2,"Freezes constantly, have to restart multiple times daily",2025-07-04,Negative
Grant Management Platform,IT Staff,2,Outdated - doesn't integrate with anything modern,2025-08-12,Negative
Email System System,Administrator,5,Impressed with the functionality and ease of use,2025-11-06,Positive
Accounts Payable Tool Classic,Administrator,2,Waste of money - should retire this immediately,2025-10-14,Negative
Email System Tool,IT Staff,3,"Acceptable for now, considering alternatives",2025-08-20,Neutral
Case Management Platform,IT Staff,4,Very efficient and well-designed,2025-11-10,Positive
Human Resources HR Management Classic,End User,1,Confusing workflow that makes no sense,2025-10-05,Negative
Project Management,IT Staff,2,"Loading times are ridiculous, kills productivity",2025-06-23,Negative
Performance Management Tool Plus,Business Analyst,3,Does the basic functions we need,2025-09-03,Neutral
Accounts Payable Tool Classic,Department Manager,2,Data integrity issues - can't trust the information,2025-07-07,Negative
Document Management System Enterprise,Director,5,Impressed with the functionality and ease of use,2025-10-25,Positive
Complaint Tracking (New),IT Staff,3,Serviceable but not ideal,2025-09-07,Neutral
Backup System Platform,End User,3,Works okay most of the time,2025-09-08,Neutral
Public Safety Investigation Management v1,Team Lead,4,Outstanding tool that delivers real value,2025-08-11,Positive
Human Resources Benefits Administration,Executive,2,Worst application in our portfolio,2025-10-29,Negative
Citizen Services Service Request,Supervisor,5,Love this system! It's intuitive and fast,2025-10-24,Positive
Content Management Platform Pro,Supervisor,5,Very efficient and well-designed,2025-08-27,Positive
Backup System Tool,Business Analyst,3,"Average tool, meets minimum requirements",2025-08-10,Neutral
IT Network Monitoring Classic,Team Lead,1,So slow it's almost unusable during peak hours,2025-07-11,Negative
Training System,Business Analyst,2,Complete disaster - retire it now,2025-10-02,Negative
Complaint Tracking System,Business Analyst,3,Middle of the road - neither good nor bad,2025-09-02,Neutral
Complaint Tracking Tool Plus,Team Lead,2,User interface from the 1990s - desperately needs update,2025-09-25,Negative
Case Management Tool,Business Analyst,3,"Basic functionality works, missing some features",2025-08-23,Neutral
Benefits Administration,Business Analyst,3,"It's fine, no major issues",2025-09-06,Neutral
VPN,IT Staff,3,"It's fine, no major issues",2025-10-30,Neutral
Facility Management (New),Support Staff,3,"Acceptable for now, considering alternatives",2025-11-09,Neutral
Service Request,Director,1,Worst application in our portfolio,2025-06-26,Negative
Human Resources HR Management Classic,IT Staff,1,Overpriced and underperforming,2025-06-05,Negative
Reporting Dashboard,Department Manager,1,"Nightmare to use, causes daily frustration",2025-08-09,Negative
Content Management Tool,Support Staff,5,This application works great and has everything we need,2025-08-01,Positive
Integrated Evidence Tracking,Director,3,"Basic functionality works, missing some features",2025-08-15,Neutral
Email Archive (New),Department Manager,4,Best application we have - couldn't do without it,2025-06-19,Positive
Human Resources Training,Support Staff,3,Does the basic functions we need,2025-10-14,Neutral
Inventory Tool,Business Analyst,4,This application works great and has everything we need,2025-07-05,Positive
Integrated 311 System,Director,3,"Gets the job done, nothing special",2025-07-28,Neutral
Training Platform,Team Lead,2,"Too many bugs, feels like it's never been tested",2025-10-26,Negative
Analytics Platform,Support Staff,4,Clean interface and powerful features,2025-07-06,Positive
Procurement,Director,1,"Freezes constantly, have to restart multiple times daily",2025-09-22,Negative
Human Resources HR Management Classic,Support Staff,1,Missing basic features we desperately need,2025-09-18,Negative
Citizen Services Service Request,End User,5,Best application we have - couldn't do without it,2025-05-23,Positive
Training System,IT Staff,1,Interface is confusing and not intuitive at all,2025-05-31,Negative
Human Resources Recruitment,Director,2,"Very difficult to navigate, poor user experience",2025-06-02,Negative
Budget Management,Team Lead,3,"Average tool, meets minimum requirements",2025-10-02,Neutral
Integrated Compliance Tracking Pro,IT Staff,2,Waste of money - should retire this immediately,2025-06-19,Negative
Backup System Plus,Business Analyst,4,Appreciate how reliable and fast this is,2025-07-02,Positive
Document Management,Director,3,Could use some improvements but manageable,2025-10-10,Neutral
Integrated Evidence Tracking,Support Staff,2,"Takes 5+ minutes just to log in, completely unacceptable",2025-09-11,Negative
Accounts Payable Tool Classic,Executive,1,"Performance is terrible, constantly laggy",2025-05-30,Negative
